,ID,train,path,eva_nr,category,name,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,depature_delay_m
351,7052633517207750651-2406242339-3,,Stuttgart Hbf|Frankfurt(M) Flughafen Fernbf,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:24:00,2024-06-25 02:31:00,2024-06-25 02:14:00,2024-06-25 02:31:00,-10,0
352,908067538504114665-2406250120-22,6,Düsseldorf-Rath Mitte|Düsseldorf-Derendorf|Düsseldorf-Zoo|Düsseldorf Wehrhahn|Düsseldorf Hbf|Düsseldorf Volksgarten|Düsseldorf-Oberbilk|Düsseldorf-Eller Süd|Düsseldorf-Reisholz|Düsseldorf-Benrath|Düsseldorf-Garath|Düsseldorf-Hellerhof|Langenfeld(Rhld)-Berghausen|Langenfeld(Rhld)|Leverkusen-Rheindorf|Leverkusen-Küppersteg|Leverkusen Mitte|Leverkusen Chempark|Köln-Stammheim|Köln-Mülheim|Köln-Buchforst,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:20:00,2024-06-25 02:21:00,2024-06-25 02:22:00,2024-06-25 02:23:00,2,2
353,-7356420156445510434-2406250238-2,26,Köln/Bonn Flughafen,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:48:00,2024-06-25 02:49:00,2024-06-25 02:48:00,2024-06-25 02:49:00,0,0
354,-1692443697590914603-2406250121-8,EM24,Dortmund Hbf|Wanne-Eickel Hbf|Gelsenkirchen Hbf|Essen-Altenessen|Oberhausen Hbf|Duisburg Hbf|Düsseldorf Hbf,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:54:00,2024-06-25 02:55:00,,,0,0
355,4501170562656462433-2406250203-13,19,Düren|Merzenich|Buir|Sindorf|Horrem|Frechen-Königsdorf|Köln-Weiden West|Lövenich|Köln-Müngersdorf Technologiepark|Köln-Ehrenfeld|Köln Hansaring|Köln Hbf,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:42:00,2024-06-25 02:43:00,2024-06-25 02:43:00,2024-06-25 02:44:00,1,1
356,-2663831637708468620-2406250132-9,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:06:00,2024-06-25 02:07:00,2024-06-25 02:06:00,2024-06-25 02:07:00,0,0
357,6086433097284689991-2406250153-7,11,Bergisch Gladbach|Duckterath|Köln-Dellbrück|Köln-Holweide|Köln-Mülheim|Köln-Buchforst,8003368,1,Köln Messe/Deutz,Nordrhein-Westfalen,Köln,50679,6.975001,50.940874,2024-06-25 02:10:00,2024-06-25 02:11:00,2024-06-25 02:10:00,2024-06-25 02:11:00,0,0
358,4098935200730677239-2406250202-12,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr|Köln Messe/Deutz|Köln Hbf|Köln Hansaring,8000208,3,Köln-Ehrenfeld,Nordrhein-Westfalen,Köln,50823,6.917276,50.951533,2024-06-25 02:45:00,2024-06-25 02:46:00,2024-06-25 02:46:00,2024-06-25 02:46:00,1,0
359,-3510515903692492425-2406250146-7,19,Sindorf|Horrem|Frechen-Königsdorf|Köln-Weiden West|Lövenich|Köln-Müngersdorf Technologiepark,8000208,3,Köln-Ehrenfeld,Nordrhein-Westfalen,Köln,50823,6.917276,50.951533,2024-06-25 02:03:00,2024-06-25 02:04:00,,,0,0
360,4501170562656462433-2406250203-10,19,Düren|Merzenich|Buir|Sindorf|Horrem|Frechen-Königsdorf|Köln-Weiden West|Lövenich|Köln-Müngersdorf Technologiepark,8000208,3,Köln-Ehrenfeld,Nordrhein-Westfalen,Köln,50823,6.917276,50.951533,2024-06-25 02:33:00,2024-06-25 02:34:00,2024-06-25 02:34:00,2024-06-25 02:35:00,1,1
361,-2663831637708468620-2406250132-12,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr|Köln Messe/Deutz|Köln Hbf|Köln Hansaring,8000208,3,Köln-Ehrenfeld,Nordrhein-Westfalen,Köln,50823,6.917276,50.951533,2024-06-25 02:15:00,2024-06-25 02:16:00,2024-06-25 02:15:00,2024-06-25 02:16:00,0,0
362,4098935200730677239-2406250202-11,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr|Köln Messe/Deutz|Köln Hbf,8003392,4,Köln Hansaring,Nordrhein-Westfalen,Köln,50670,6.952565,50.949131,2024-06-25 02:41:00,2024-06-25 02:42:00,2024-06-25 02:42:00,2024-06-25 02:43:00,1,1
363,6213600323571878720-2406250143-11,11,Dormagen|Dormagen Chempark|Köln-Worringen|Köln-Blumenberg|Köln-Chorweiler Nord|Köln-Chorweiler|Köln Volkhovener Weg|Köln-Longerich|Köln Geldernstr./Parkgürtel|Köln-Nippes,8003392,4,Köln Hansaring,Nordrhein-Westfalen,Köln,50670,6.952565,50.949131,2024-06-25 02:13:00,2024-06-25 02:14:00,2024-06-25 02:13:00,2024-06-25 02:14:00,0,0
364,-3510515903692492425-2406250146-8,19,Sindorf|Horrem|Frechen-Königsdorf|Köln-Weiden West|Lövenich|Köln-Müngersdorf Technologiepark|Köln-Ehrenfeld,8003392,4,Köln Hansaring,Nordrhein-Westfalen,Köln,50670,6.952565,50.949131,2024-06-25 02:07:00,2024-06-25 02:08:00,,,0,0
365,908067538504114665-2406250120-24,6,Düsseldorf-Rath Mitte|Düsseldorf-Derendorf|Düsseldorf-Zoo|Düsseldorf Wehrhahn|Düsseldorf Hbf|Düsseldorf Volksgarten|Düsseldorf-Oberbilk|Düsseldorf-Eller Süd|Düsseldorf-Reisholz|Düsseldorf-Benrath|Düsseldorf-Garath|Düsseldorf-Hellerhof|Langenfeld(Rhld)-Berghausen|Langenfeld(Rhld)|Leverkusen-Rheindorf|Leverkusen-Küppersteg|Leverkusen Mitte|Leverkusen Chempark|Köln-Stammheim|Köln-Mülheim|Köln-Buchforst|Köln Messe/Deutz|Köln Hbf,8003392,4,Köln Hansaring,Nordrhein-Westfalen,Köln,50670,6.952565,50.949131,2024-06-25 02:25:00,2024-06-25 02:26:00,2024-06-25 02:27:00,2024-06-25 02:28:00,2,2
366,4501170562656462433-2406250203-11,19,Düren|Merzenich|Buir|Sindorf|Horrem|Frechen-Königsdorf|Köln-Weiden West|Lövenich|Köln-Müngersdorf Technologiepark|Köln-Ehrenfeld,8003392,4,Köln Hansaring,Nordrhein-Westfalen,Köln,50670,6.952565,50.949131,2024-06-25 02:37:00,2024-06-25 02:38:00,2024-06-25 02:38:00,2024-06-25 02:39:00,1,1
367,-2663831637708468620-2406250132-11,19,Hennef(Sieg)|Siegburg/Bonn|Troisdorf|Spich|Porz-Wahn|Köln/Bonn Flughafen|Köln Frankfurter Straße|Köln Trimbornstr|Köln Messe/Deutz|Köln Hbf,8003392,4,Köln Hansaring,Nordrhein-Westfalen,Köln,50670,6.952565,50.949131,2024-06-25 02:11:00,2024-06-25 02:12:00,2024-06-25 02:11:00,2024-06-25 02:12:00,0,0
368,6086433097284689991-2406250153-4,11,Bergisch Gladbach|Duckterath|Köln-Dellbrück,8003369,5,Köln-Holweide,Nordrhein-Westfalen,Köln,51067,7.041235,50.97627,2024-06-25 02:00:00,2024-06-25 02:00:00,2024-06-25 02:01:00,2024-06-25 02:01:00,1,1
369,6213600323571878720-2406250143-8,11,Dormagen|Dormagen Chempark|Köln-Worringen|Köln-Blumenberg|Köln-Chorweiler Nord|Köln-Chorweiler|Köln Volkhovener Weg,8003371,4,Köln-Longerich,Nordrhein-Westfalen,Köln,50739,6.901557,50.997736,2024-06-25 02:04:00,2024-06-25 02:04:00,2024-06-25 02:05:00,2024-06-25 02:06:00,1,2
