,eva_nr,name,category,state,city,zipcode,street,long,lat
1765,8000385,Gunzenhausen,4,Bayern,Gunzenhausen,91710,Bahnhofsplatz 3,10.755463,49.120444
1766,8010151,Güsen (Kr Genthin),6,Sachsen-Anhalt,Elbe-Parey,39317,Breiter Weg 111,11.977862,52.33489
1767,8011788,Seelow-Gusow,6,Brandenburg,Gusow,15306,Am Bahnhof 1,14.351462,52.559303
1768,8010152,Güsten,5,Sachsen-Anhalt,Güsten,39439,Bahnhofstr. 1,11.6017664,51.7930166
1769,8002477,Gustorf,6,Nordrhein-Westfalen,Grevenbroich,41517,Josef-Bremer-Platz 4,6.570011,51.067173
1770,8010153,Güstrow,3,Mecklenburg-Vorpommern,Güstrow,18273,Bahnhofsplatz 3,12.172836,53.800597
1771,8002478,Gutach (Breisgau),6,Baden-Württemberg,Gutach ,79261,Golfstr. 5,7.988493,48.113325
1772,8011790,Gutenfürst,7,Sachsen,Burgstein,08538,Bahnhofstr. 5,11.960916,50.418797
1773,8010154,Güterglück,6,Sachsen-Anhalt,Güterglück,39264,Bahnhofstr. 56a,11.986389,51.993474
1774,8002461,Gütersloh Hbf,3,Nordrhein-Westfalen,Gütersloh,33330,Willy-Brandt-Platz 2,8.385071,51.906941
1775,8011791,Guthmannshausen,6,Thüringen,Guthmannshausen,99628,Am Bahnhof 1,11.365703,51.132368
1776,8002484,Guxhagen,5,Hessen,Guxhagen,34302,Dörnhagener Str. 2,9.482159,51.204322
1777,8002489,Lörrach-Haagen/Messe,6,Baden-Württemberg,Lörrach,79541,Beim Haagensteg 15,7.680893,47.633233
1778,8002490,Haan,5,Nordrhein-Westfalen,Haan ,42781,Eisenbahnstr. 2,6.998018,51.18812
1779,8002491,Haar,4,Bayern,Haar b. München,85540,Bahnhofplatz 1,11.73115,48.111413
1780,8011792,Haarhausen,6,Thüringen,Wachsenburggemeinde,99310,Am Bahnhof 2,10.905715,50.867437
1781,8002494,Hachenburg,6,Rheinland-Pfalz,Hachenburg,57627,Bahnhofstr. 18,7.822895,50.664001
1782,8089017,Hackescher Markt,4,Berlin,Berlin,10178,Am Zwirngraben,13.402364,52.522622
1783,8002495,Hadamar,6,Hessen,Hadamar,65589,Am Bahnhof 1,8.043453,50.447188
1784,8002496,Hademarschen,7,Schleswig-Holstein,Hanerau-Hademarschen,25557,Bismarckstr. 8,9.414475,54.122809
1785,8011794,Hadmersleben,7,Sachsen-Anhalt,Oschersleben (Bode),39387,Am Bahnhof 10,11.324446,52.00736
1786,8002504,Haffkrug,6,Schleswig-Holstein,Scharbeutz,23683,Bahnhofstr.48,10.742682,54.054189
1787,8011797,Hagebök,7,Mecklenburg-Vorpommern,Neuburg,23974,Dorfstraße 1,11.614882,53.96126
1788,8002506,Hagelstadt,6,Bayern,Hagelstadt,93095,Regensburger Str. 4,12.214829,48.895859
1789,8002507,Hagen (Han),6,Niedersachsen,Neustadt am Rübenberge,31535,Zum Bahnhof 1,9.408946,52.57369
1790,8000142,Hagen Hbf,2,Nordrhein-Westfalen,Hagen,58089,Berliner Platz 1,7.460249,51.362747
1791,8002547,Hamburg Airport (Flughafen),4,Hamburg,Hamburg,22335,Flughafenstraße 1,10.006646,53.63235
1792,8013125,Thale Musestieg,7,Sachsen-Anhalt,Thale,06502,Musestieg,11.04688,51.751434
1793,8002512,Hagen-Heubing,6,Nordrhein-Westfalen,Hagen,58135,Am Hasper Bahnof,7.423087,51.352318
1794,8002514,Hagen-Oberhagen,6,Nordrhein-Westfalen,Hagen ,58091,Hochstraße 11,7.478792,51.351114
1795,8000977,Hagen-Vorhalle,6,Nordrhein-Westfalen,Hagen,58089,Brüninghausstraße 13,7.433726,51.388224
1796,8006712,Hagen-Wehringhausen,6,Nordrhein-Westfalen,Hagen,58089,Schlachthofstraße 2,7.452767,51.353583
1797,8004440,Hagen-Westerbauer,6,Nordrhein-Westfalen,Hagen ,58135,Nordstraße 13,7.397392,51.341781
1798,8002517,Hagenbüchach,6,Bayern,Hagenbüchach,91469,Am Bahnhof 30,10.767799,49.536347
1799,8010156,Hagenow Land,6,Mecklenburg-Vorpommern,Hagenow-Land,19230,Bahnhofsvorplatz 2,11.215695,53.413582
1800,8011799,Hagenwerder,6,Sachsen,Görlitz,02827,An der B99 3,14.960228,51.070117
1801,8011795,Hähnichen,6,Sachsen,Hähnichen,02923,Bahnhofstr. 8,14.856726,51.364119
1802,8002498,Hähnlein-Alsbach,5,Hessen,Alsbach-Hähnlein,64665,An der Fohlenweide 7,8.606664,49.73935
