,stationID,stationCategory,names,state,city,postalCode,street,position_long,position_lat
3196,4789,CATEGORY_6,Osterburg,Sachsen-Anhalt,Osterburg,39606,Bahnhofsallee,11.760386,52.787668
3197,479,CATEGORY_6,Bempflingen,Baden-Württemberg,Bempflingen,72658,Bahnhofstraße,9.273425,48.572364
3198,4790,CATEGORY_4,Osterburken,Baden-Württemberg,Osterburken,74706,Bahnhofstr.,9.422692,49.429657
3199,4793,CATEGORY_5,Osterhofen (Niederbay),Bayern,Osterhofen ,94486,Ladehofstr.,13.018705,48.695474
3200,4794,CATEGORY_7,Osterhofen (Oberbay),Bayern,Bayrischzell,83735,Osterhofen,11.986881,47.687655
3201,4795,CATEGORY_4,Osterholz-Scharmbeck,Niedersachsen,Osterholz-Scharmbeck,27711,Ladestr.,8.797434,53.222776
3202,4796,CATEGORY_6,Ostermünchen,Bayern,Tuntenhausen,83104,Auer Klaus Platz,12.041588,47.942148
3203,4797,CATEGORY_6,Osternienburg,Sachsen-Anhalt,Osternienburg,06386,An der Ortsstr.,12.03059,51.783518
3204,480,CATEGORY_6,Benediktbeuern,Bayern,Benediktbeuern,83671,Bahnhofplatz,11.403051,47.709121
3205,4800,CATEGORY_6,Osterspai,Rheinland-Pfalz,Osterspai,56340,Bahnhofstr.,7.615074,50.245071
3206,4801,CATEGORY_7,Osterstedt,Schleswig-Holstein,Osterstedt,25590,Bahnhofstraße,9.575455,54.102219
3207,4802,CATEGORY_7,Osterwald,Niedersachsen,Salzhemmendorf-Osterwald,31029,Bahnhofstr.,9.636544,52.097344
3208,4803,CATEGORY_6,Osterweddingen,Sachsen-Anhalt,Sülzetal,39171,Bahnhofstr.,11.575921,52.049135
3209,4806,CATEGORY_5,Ostheim (b Butzbach),Hessen,Butzbach,35510,Bahnhofstr.,8.675319,50.406598
3210,4807,CATEGORY_6,Ostheim (Kr Hanau),Hessen,Nidderau,61130,Eisenbahnstraße,8.903381,50.2191
3211,4808,CATEGORY_4,Osthofen,Rheinland-Pfalz,Osthofen,67574,Bahnhofstr.,8.325988,49.705423
3212,4809,CATEGORY_2,Berlin Ostkreuz,Berlin,Berlin,10245,Sonntagstr.,13.469105,52.503037
3213,481,CATEGORY_6,Bengel,Rheinland-Pfalz,Bengel,54538,Bahnhofstraße,7.05803,50.010379
3214,4811,CATEGORY_6,Ostrau,Sachsen,Ostrau,04749,Bahnhofstr.,13.166405,51.200294
3215,4812,CATEGORY_6,Graal-Müritz,Mecklenburg-Vorpommern,Graal Müritz,18181,L22/Bahnhofstraße,12.245387,54.248777
3216,4813,CATEGORY_7,Rostock Torfbrücke,Mecklenburg-Vorpommern,Rostock,18181,L22/ Torfbrücke,12.227735,54.241758
3217,4815,CATEGORY_6,Rickling,Schleswig-Holstein,Rickling,24635,Bahnhofstr.,10.168318,53.999058
3218,4817,CATEGORY_4,Othmarschen,Hamburg,Hamburg,22605,Statthalterplatz,9.885967,53.559233
3219,4818,CATEGORY_4,Ötigheim,Baden-Württemberg,Ötigheim,76470,Bahnhofstr.,8.240582,48.888526
3220,4819,CATEGORY_6,Ötisheim,Baden-Württemberg,Ötisheim,75443,Bahnhofstr.,8.813508,48.966571
3221,482,CATEGORY_5,Bennemühlen,Niedersachsen,Wedemark,30900,Am Bahnhof,9.726836,52.580993
3222,4820,CATEGORY_6,Höxter-Ottbergen,Nordrhein-Westfalen,Höxter,37671,Bahnhofstr.,9.304909,51.71099
3223,4821,CATEGORY_6,Ottendorf (b Mittweida),Sachsen,Lichtenau,09244,Bahnhofstr.,12.952856,50.935117
3224,4822,CATEGORY_7,Ottendorf-Okrilla Hp,Sachsen,Ottendorf,01458,Radeberger Str.,13.8359553,51.1866768
3225,4823,CATEGORY_6,Ottendorf-Okrilla Nord,Sachsen,Ottendorf-Okrilla,01458,Königsbrücker Straße,13.8351131,51.1970686
3226,4824,CATEGORY_6,Ottendorf-Okrilla Süd,Sachsen,Ottendorf-Okrilla,01458,Bahnhofstr.,13.8249153,51.1779675
3227,4825,CATEGORY_6,Ottenhofen (Oberbay),Bayern,Ottenhofen (Oberbay),85570,Hauptstr.,11.879385,48.218134
3228,4826,CATEGORY_7,Ottenhofen-Bergel,Bayern,Marktbergel,91613,Bahnhof,10.355976,49.45579
3229,4827,CATEGORY_6,Ottensoos,Bayern,Ottensoos,91242,Bahnhofstr.,11.339683,49.50775
3230,4828,CATEGORY_5,Otterfing,Bayern,Otterfing,83624,Bahnhofstr.,11.682121,47.911387
3231,4829,CATEGORY_6,Otterndorf,Niedersachsen,Otterndorf,21762,Am Bahnhof,8.893989,53.805984
3232,483,CATEGORY_5,Bennigsen,Niedersachsen,Springe,31832,Am Bahnhof,9.666376,52.240733
3233,4830,CATEGORY_5,Ottersberg (Han),Niedersachsen,Ottersberg,28870,Am Bahnhof,9.13315,53.096853
3234,4831,CATEGORY_5,Offenbach-Waldhof,Hessen,Offenbach (Main),63073,Seligenstädter Str.,8.828938,50.081691
3235,4832,CATEGORY_7,Otterwisch,Sachsen,Otterwisch,04668,Am Bahnhof,12.601793,51.200328
3236,4833,CATEGORY_6,Otting,Bayern,Waging a.See,83329,Oberleiten,,
3237,4834,CATEGORY_5,Otting-Weilheim,Bayern,Otting,86700,Bahnhofstr.,10.818935,48.880872
3238,4836,CATEGORY_5,Ottobrunn,Bayern,Ottobrunn,85521,Bahnhofplatz,11.677795,48.063692
3239,4837,CATEGORY_5,Ottweiler (Saar),Saarland,Ottweiler (Saar),66564,Bahnhofstr.,7.166133,49.402337
3240,4838,CATEGORY_6,Otze,Niedersachsen,Burgdorf,31303,Worthstraße,10.017114,52.487617
3241,484,CATEGORY_5,Benningen (Neckar),Baden-Württemberg,Benningen am Neckar,71726,Bahnhofstraße,9.244504,48.943614
3242,4840,CATEGORY_6,Ovelgünne,Sachsen-Anhalt,Ovelgünne,39365,Bahnhofstr.,11.26943,52.141807
3243,4841,CATEGORY_5,Overath,Nordrhein-Westfalen,Overath,51491,Bahnhofsplatz,7.288817,50.93273
3244,4842,CATEGORY_7,Owen (Teck),Baden-Württemberg,Owen ,73277,Eisenbahnstr.,9.44776,48.586996
3245,4843,CATEGORY_5,Owschlag,Schleswig-Holstein,Owschlag,24811,Bahnhofstr.,9.590516,54.392595
3246,4844,CATEGORY_6,Oy-Mittelberg,Bayern,Oy-Mittelberg,87466,Bahnhofstr.,10.458131,47.646152
3247,4846,CATEGORY_2,Paderborn Hbf,Nordrhein-Westfalen,Paderborn,33102,Bahnhofstr.,8.740505,51.712979
3248,4847,CATEGORY_6,Paderborn Kasseler Tor,Nordrhein-Westfalen,Paderborn,33100,Warburger Str.,8.76126,51.716161
3249,4848,CATEGORY_6,Paderborn Nord,Nordrhein-Westfalen,Paderborn,33102,Nordstr.,8.758954,51.72807
3250,4850,CATEGORY_6,Paffendorf,Nordrhein-Westfalen,Bergheim,50126,Schnitteweg,6.606998,50.961691
3251,4851,CATEGORY_6,Paindorf,Bayern,Reichertshausen,85293,Pfaffenhofener Straße,11.487263,48.44268
3252,4852,CATEGORY_6,Palzem,Rheinland-Pfalz,Palzem,54439,Bahnhofstr.,6.371926,49.565064
3253,4853,CATEGORY_6,Pankofen,Bayern,Plattling,94447,Pankofen-Bahnhof,12.899425,48.799641
3254,4854,CATEGORY_5,Pankow-Heinersdorf,Berlin,Berlin,13186,Prenzlauer Promenade,13.429363,52.577963
3255,4855,CATEGORY_6,Pansdorf,Schleswig-Holstein,Ratekau,23689,Am Bahnhof,10.703056,53.981034
3256,4857,CATEGORY_4,Papenburg (Ems),Niedersachsen,Papenburg ,26871,Bahnhofstr.,7.386708,53.089706
3257,4858,CATEGORY_6,Papendorf,Mecklenburg-Vorpommern,Papendorf,18059,Bekegrund,12.137318,54.036604
3258,4859,CATEGORY_1,Berlin Südkreuz,Berlin,Berlin,12101,General-Pape-Straße,13.365319,52.475047
3259,486,CATEGORY_6,Bennungen,Sachsen-Anhalt,Bennungen,06536,Wickeröderstr.,11.122989,51.464006
3260,4860,CATEGORY_6,Papiermühle (Kr Stadtroda),Thüringen,Bollberg,07646,Papiermühle,11.7901808,50.8853144
3261,4861,CATEGORY_6,Kunersdorf,Brandenburg,Kolkwitz,03099,Am Bahnhof,14.188364,51.76864
3262,4863,CATEGORY_6,Pappenheim,Bayern,Pappenheim,91788,Bahnhofstr.,10.964028,48.926405
3263,4864,CATEGORY_6,Parchim,Mecklenburg-Vorpommern,Parchim,19370,Am Bahnhof,11.831265,53.43032
3264,4866,CATEGORY_7,Parkentin,Mecklenburg-Vorpommern,Parkentin,18209,Bahnhofstraße,11.978983,54.081256
3265,4868,CATEGORY_4,Parsberg,Bayern,Parsberg,92331,Bahnhofstr.,11.723355,49.164355
3266,4869,CATEGORY_6,Partenstein,Bayern,Partenstein,97846,Bahnhofstr.,9.52399,50.038379
3267,487,CATEGORY_7,Benshausen,Thüringen,Benshausen,98554,Bahnhofstraße,10.602208,50.657009
3268,4870,CATEGORY_4,Pasewalk,Mecklenburg-Vorpommern,Pasewalk,17309,Am Bahnhof,13.988875,53.515353
3269,4871,CATEGORY_7,Pasewalk Ost,Mecklenburg-Vorpommern,Pasewalk,17309,Industriegebiet,14.009312,53.50957
3270,4872,CATEGORY_3,Passau Hbf,Bayern,Passau,94032,Bahnhofstr.,13.450776,48.573632
3271,4874,CATEGORY_6,Passow (Uckermark),Brandenburg,Passow,16306,Am Bahnhof,14.10137,53.148702
3272,4876,CATEGORY_6,Paulinenaue,Brandenburg,Paulinenaue,14641,Bahnhofstr.,12.71327,52.675892
3273,4877,CATEGORY_7,Paulinzella,Thüringen,Rottenbach,07422,Am Bahnhof,11.10596,50.701106
3274,4879,CATEGORY_6,Pechbrunn,Bayern,Pechbrunn,95701,Bahnhofstr.,12.165956,49.969536
3275,488,CATEGORY_4,Bensheim,Hessen,Bensheim,64625,Amershamplatz,8.616717,49.681329
3276,4880,CATEGORY_7,Paderborn-Schloß-Neuhaus,Nordrhein-Westfalen,Paderborn,33104,Schatenweg,8.720845,51.749379
3277,4881,CATEGORY_6,Pegau,Sachsen,Pegau,04523,Bahnhofstr.,12.241046,51.165966
3278,4883,CATEGORY_4,Pegnitz,Bayern,Pegnitz,91257,Bahnhofstr.,11.5475965,49.7587084
3279,4885,CATEGORY_5,Peine,Niedersachsen,Peine,31224,Bahnhofsplatz,10.232145,52.318942
3280,4886,CATEGORY_7,Peiß,Bayern,Aying,85653,Holzkirchner Str.,11.776595,47.960102
3281,4887,CATEGORY_6,Peißen,Sachsen-Anhalt,Peißen,06188,Lindenring,12.059642,51.500814
3282,4888,CATEGORY_6,Peißenberg,Bayern,Peißenberg,82380,Bergwerkstr.,11.060279,47.797496
3283,4889,CATEGORY_6,Peißenberg Nord,Bayern,Peißenberg,82380,Ludwigstr.,11.077304,47.81568
3284,489,CATEGORY_5,Bensheim-Auerbach,Hessen,Bensheim,64625,Otto-Beck-Str.,8.613366,49.701557
3285,4890,CATEGORY_6,Peiting Nord,Bayern,Peiting,86971,Münchner Straße 33/,10.92667,47.801565
3286,4891,CATEGORY_6,Peiting Ost,Bayern,Peiting,86971,Bahnhofstr.,10.936692,47.792955
3287,4893,CATEGORY_6,Peitz Ost,Brandenburg,Peitz,03185,Alte Bahnhofstr.,14.449422,51.843979
3288,4896,CATEGORY_6,Penzberg Pbf,Bayern,Penzberg,82377,Philippstr.,11.371875,47.749249
3289,4897,CATEGORY_7,Perkam,Bayern,Perkam,94368,Kirchberg,12.437388,48.857554
3290,4898,CATEGORY_6,Perl,Saarland,Perl,66706,Bahnhofstr.,6.369321,49.473163
3291,4899,CATEGORY_6,Perleberg,Brandenburg,Perleberg,19348,Wittenberger Str.,11.852322,53.071255
3292,49,CATEGORY_7,Albstadt-Laufen Ort,Baden-Württemberg,Albstadt,72459,Gässlesweg,8.917316,48.222859
3293,490,CATEGORY_6,Bentwisch,Mecklenburg-Vorpommern,Bentwisch,18182,Stralsunder Str.,12.210506,54.117193
3294,4900,CATEGORY_7,Petergrube,Sachsen,Borna,04552,Platekaer Str.,12.503348,51.098402
